INFO:0:train:(3.178195310911688e-06, tensor(0.0240))
INFO:0:test:(2.378087706186892e-06, tensor(0.0234))
INFO:1:train:(2.633460692135538e-06, tensor(0.0208))
INFO:1:test:(2.243200648681289e-06, tensor(0.0221))
INFO:2:train:(2.5506577255236907e-06, tensor(0.0203))
INFO:2:test:(2.1674535285296382e-06, tensor(0.0214))
INFO:3:train:(2.4682670773834603e-06, tensor(0.0196))
INFO:3:test:(2.2022506375476335e-06, tensor(0.0222))
INFO:4:train:(2.399627687733406e-06, tensor(0.0190))
INFO:4:test:(2.183370554466953e-06, tensor(0.0221))
INFO:5:train:(2.3776904952236528e-06, tensor(0.0188))
INFO:5:test:(2.192607811514435e-06, tensor(0.0222))
INFO:6:train:(2.36543009541828e-06, tensor(0.0187))
INFO:6:test:(2.1894405182172127e-06, tensor(0.0224))
INFO:7:train:(2.3597188845801603e-06, tensor(0.0186))
INFO:7:test:(2.1865731224354703e-06, tensor(0.0223))
INFO:8:train:(2.348238453180977e-06, tensor(0.0185))
INFO:8:test:(2.175865385799771e-06, tensor(0.0220))
INFO:9:train:(2.3421755382280795e-06, tensor(0.0185))
INFO:9:test:(2.1820875102798377e-06, tensor(0.0221))
INFO:10:train:(2.3467142715510387e-06, tensor(0.0185))
INFO:10:test:(2.179712471548085e-06, tensor(0.0221))
INFO:11:train:(2.3347482936807574e-06, tensor(0.0184))
INFO:11:test:(2.206775379957642e-06, tensor(0.0223))
INFO:12:train:(2.329319707470928e-06, tensor(0.0184))
INFO:12:test:(2.1743759679754635e-06, tensor(0.0219))
INFO:13:train:(2.3248656030841627e-06, tensor(0.0184))
INFO:13:test:(2.194226890103188e-06, tensor(0.0220))
INFO:14:train:(2.320941661202099e-06, tensor(0.0183))
INFO:14:test:(2.1904007653322334e-06, tensor(0.0221))
INFO:15:train:(2.3204562044501154e-06, tensor(0.0183))
INFO:15:test:(2.195343359924169e-06, tensor(0.0219))
INFO:16:train:(2.3169020706102033e-06, tensor(0.0183))
INFO:16:test:(2.180142206175958e-06, tensor(0.0218))
INFO:17:train:(2.312829653385103e-06, tensor(0.0183))
INFO:17:test:(2.2066668795204084e-06, tensor(0.0220))
INFO:18:train:(2.311147716707049e-06, tensor(0.0183))
INFO:18:test:(2.1877698249557715e-06, tensor(0.0220))
INFO:19:train:(2.3082718419488817e-06, tensor(0.0183))
INFO:19:test:(2.211901634963426e-06, tensor(0.0220))
INFO:20:train:(2.307164705767926e-06, tensor(0.0183))
INFO:20:test:(2.198652128585075e-06, tensor(0.0217))
INFO:21:train:(2.3061358230304316e-06, tensor(0.0182))
INFO:21:test:(2.210496108657151e-06, tensor(0.0220))
INFO:22:train:(2.3032301462387076e-06, tensor(0.0182))
INFO:22:test:(2.201763746035848e-06, tensor(0.0219))
INFO:23:train:(2.304920794040469e-06, tensor(0.0182))
INFO:23:test:(2.2095230821109984e-06, tensor(0.0219))
INFO:24:train:(2.302374030240271e-06, tensor(0.0182))
INFO:24:test:(2.2126426370024972e-06, tensor(0.0221))
INFO:25:train:(2.2995005204532367e-06, tensor(0.0182))
INFO:25:test:(2.2098009049289176e-06, tensor(0.0220))
INFO:26:train:(2.3056246732567666e-06, tensor(0.0182))
INFO:26:test:(2.213297977000843e-06, tensor(0.0217))
INFO:27:train:(2.30995598750843e-06, tensor(0.0183))
INFO:27:test:(2.2018155271603145e-06, tensor(0.0219))
INFO:28:train:(2.295814197127068e-06, tensor(0.0182))
INFO:28:test:(2.207257242699977e-06, tensor(0.0219))
INFO:29:train:(2.2937931470297857e-06, tensor(0.0182))
INFO:29:test:(2.2442770250207843e-06, tensor(0.0223))
INFO:30:train:(2.29332672228069e-06, tensor(0.0182))
INFO:30:test:(2.234363346193013e-06, tensor(0.0220))
INFO:31:train:(2.2912342027094426e-06, tensor(0.0181))
INFO:31:test:(2.2496740692538576e-06, tensor(0.0220))
INFO:32:train:(2.290928727997215e-06, tensor(0.0181))
INFO:32:test:(2.212157852393994e-06, tensor(0.0220))
INFO:33:train:(2.2898715648685112e-06, tensor(0.0181))
INFO:33:test:(2.2646131625524023e-06, tensor(0.0221))
INFO:34:train:(2.289893394717954e-06, tensor(0.0181))
INFO:34:test:(2.2994558666977302e-06, tensor(0.0222))
INFO:35:train:(2.2930293120042097e-06, tensor(0.0182))
INFO:35:test:(2.21546593509883e-06, tensor(0.0221))
INFO:36:train:(2.2897565265883806e-06, tensor(0.0181))
INFO:36:test:(2.241031640430384e-06, tensor(0.0221))
INFO:37:train:(2.294062601015704e-06, tensor(0.0182))
INFO:37:test:(2.2538766417949108e-06, tensor(0.0221))
INFO:38:train:(2.2861852597332402e-06, tensor(0.0181))
INFO:38:test:(2.2505473473206153e-06, tensor(0.0221))
INFO:39:train:(2.3695767618965395e-06, tensor(0.0187))
INFO:39:test:(2.1949423169646898e-06, tensor(0.0217))
INFO:40:train:(2.310693830891288e-06, tensor(0.0183))
