INFO:0:train:(22228.404296875, tensor(4.3070))
INFO:0:test:(22471.591796875, tensor(4.2780))
INFO:1:train:(21041.27734375, tensor(4.1214))
INFO:1:test:(21107.06640625, tensor(4.0698))
INFO:2:train:(19850.697265625, tensor(3.9334))
INFO:2:test:(19694.90625, tensor(3.8525))
INFO:3:train:(18628.82421875, tensor(3.7391))
INFO:3:test:(18210.55859375, tensor(3.6219))
INFO:4:train:(17353.26171875, tensor(3.5352))
INFO:4:test:(16605.455078125, tensor(3.3711))
INFO:5:train:(15984.861328125, tensor(3.3169))
INFO:5:test:(14760.5947265625, tensor(3.0824))
INFO:6:train:(14436.2001953125, tensor(3.0701))
INFO:6:test:(12174.7919921875, tensor(2.6871))
INFO:7:train:(12332.6611328125, tensor(2.7424))
INFO:7:test:(10068.400390625, tensor(2.3034))
INFO:8:train:(10762.154296875, tensor(2.4772))
INFO:8:test:(9326.69921875, tensor(2.1277))
INFO:9:train:(10521.482421875, tensor(2.4140))
INFO:9:test:(8662.896484375, tensor(2.0206))
INFO:10:train:(10139.056640625, tensor(2.3661))
INFO:10:test:(7987.42236328125, tensor(1.8822))
INFO:11:train:(9566.5263671875, tensor(2.2529))
INFO:11:test:(7270.75439453125, tensor(1.7167))
INFO:12:train:(8830.48046875, tensor(2.0940))
INFO:12:test:(6503.41650390625, tensor(1.5679))
INFO:13:train:(8029.65087890625, tensor(1.9391))
INFO:13:test:(5957.84033203125, tensor(1.4749))
INFO:14:train:(7488.7744140625, tensor(1.8335))
INFO:14:test:(5757.771484375, tensor(1.4257))
INFO:15:train:(7331.89208984375, tensor(1.7780))
INFO:15:test:(5603.2626953125, tensor(1.3796))
INFO:16:train:(7205.28759765625, tensor(1.7423))
INFO:16:test:(5352.65234375, tensor(1.3252))
INFO:17:train:(7025.70068359375, tensor(1.7130))
INFO:17:test:(5073.53173828125, tensor(1.2721))
INFO:18:train:(6846.89404296875, tensor(1.6949))
INFO:18:test:(4860.53857421875, tensor(1.2333))
INFO:19:train:(6726.95947265625, tensor(1.6923))
INFO:19:test:(4747.845703125, tensor(1.2115))
INFO:20:train:(6692.67626953125, tensor(1.6987))
INFO:20:test:(4643.751953125, tensor(1.1946))
INFO:21:train:(6657.49560546875, tensor(1.6964))
INFO:21:test:(4519.34521484375, tensor(1.1723))
INFO:22:train:(6574.76611328125, tensor(1.6778))
INFO:22:test:(4401.08154296875, tensor(1.1453))
INFO:23:train:(6468.52978515625, tensor(1.6487))
INFO:23:test:(4280.60302734375, tensor(1.1167))
INFO:24:train:(6330.09716796875, tensor(1.6145))
INFO:24:test:(4176.68798828125, tensor(1.0924))
INFO:25:train:(6212.03515625, tensor(1.5830))
INFO:25:test:(4124.22314453125, tensor(1.0767))
INFO:26:train:(6168.2216796875, tensor(1.5623))
INFO:26:test:(4087.53173828125, tensor(1.0665))
INFO:27:train:(6139.068359375, tensor(1.5519))
INFO:27:test:(4040.440185546875, tensor(1.0589))
INFO:28:train:(6106.955078125, tensor(1.5492))
INFO:28:test:(3984.010498046875, tensor(1.0537))
INFO:29:train:(6073.6826171875, tensor(1.5526))
INFO:29:test:(3934.23291015625, tensor(1.0523))
INFO:30:train:(6043.62158203125, tensor(1.5612))
INFO:30:test:(3908.562255859375, tensor(1.0552))
INFO:31:train:(6027.82861328125, tensor(1.5732))
INFO:31:test:(3907.177001953125, tensor(1.0602))
INFO:32:train:(6021.4267578125, tensor(1.5833))
INFO:32:test:(3908.651123046875, tensor(1.0624))
INFO:33:train:(5999.88720703125, tensor(1.5846))
INFO:33:test:(3905.125732421875, tensor(1.0604))
INFO:34:train:(5962.55908203125, tensor(1.5761))
INFO:34:test:(3901.482666015625, tensor(1.0555))
INFO:35:train:(5917.17138671875, tensor(1.5597))
INFO:35:test:(3908.029296875, tensor(1.0511))
INFO:36:train:(5871.39404296875, tensor(1.5405))
INFO:36:test:(3926.5224609375, tensor(1.0487))
INFO:37:train:(5823.86962890625, tensor(1.5212))
INFO:37:test:(3952.01708984375, tensor(1.0491))
INFO:38:train:(5770.2451171875, tensor(1.5036))
INFO:38:test:(3976.52783203125, tensor(1.0523))
INFO:39:train:(5703.26171875, tensor(1.4883))
INFO:39:test:(4000.527587890625, tensor(1.0595))
INFO:40:train:(5616.76220703125, tensor(1.4756))
INFO:40:test:(4042.040283203125, tensor(1.0728))
INFO:41:train:(5514.80322265625, tensor(1.4653))
INFO:41:test:(4128.3076171875, tensor(1.0944))
INFO:42:train:(5404.3408203125, tensor(1.4555))
INFO:42:test:(4272.037109375, tensor(1.1224))
INFO:43:train:(5284.6064453125, tensor(1.4382))
INFO:43:test:(4462.0634765625, tensor(1.1528))
INFO:44:train:(5149.21240234375, tensor(1.4031))
INFO:44:test:(4737.31396484375, tensor(1.1956))
INFO:45:train:(5063.9892578125, tensor(1.3674))
INFO:45:test:(5026.744140625, tensor(1.2532))
INFO:46:train:(4938.7958984375, tensor(1.3579))
INFO:46:test:(5241.4560546875, tensor(1.3034))
INFO:47:train:(4852.4404296875, tensor(1.3568))
INFO:47:test:(5384.78955078125, tensor(1.3463))
INFO:48:train:(4767.7705078125, tensor(1.3284))
INFO:48:test:(5548.47607421875, tensor(1.3954))
INFO:49:train:(4772.892578125, tensor(1.3231))
INFO:49:test:(5621.35205078125, tensor(1.4259))
INFO:50:train:(4744.44873046875, tensor(1.3321))
INFO:50:test:(5672.52392578125, tensor(1.4386))
INFO:51:train:(4731.90869140625, tensor(1.3495))
INFO:51:test:(5733.43212890625, tensor(1.4495))
INFO:52:train:(4702.34912109375, tensor(1.3461))
INFO:52:test:(5709.28857421875, tensor(1.4453))
INFO:53:train:(4621.55419921875, tensor(1.3109))
INFO:53:test:(5460.8212890625, tensor(1.3795))
INFO:54:train:(4531.37939453125, tensor(1.2812))
INFO:54:test:(4965.26123046875, tensor(1.2646))
