INFO:0:train:(457120.71875, tensor(46.3690))
INFO:0:test:(23088.916015625, tensor(4.1543))
INFO:1:train:(435930.875, tensor(46.3130))
INFO:1:test:(22906.025390625, tensor(4.1257))
INFO:2:train:(176642.40625, tensor(25.1740))
INFO:2:test:(22745.76171875, tensor(4.0998))
INFO:3:train:(97199.8984375, tensor(17.3937))
INFO:3:test:(22674.466796875, tensor(4.0885))
INFO:4:train:(134785.078125, tensor(21.4107))
INFO:4:test:(22727.9453125, tensor(4.0975))
INFO:5:train:(83846.7890625, tensor(15.2154))
INFO:5:test:(22865.37890625, tensor(4.1193))
INFO:6:train:(76201.765625, tensor(13.5139))
INFO:6:test:(22977.994140625, tensor(4.1380))
INFO:7:train:(82927.1015625, tensor(14.2833))
INFO:7:test:(22992.486328125, tensor(4.1407))
INFO:8:train:(62572.55859375, tensor(11.5533))
INFO:8:test:(22859.357421875, tensor(4.1199))
INFO:9:train:(53079.63671875, tensor(10.4047))
INFO:9:test:(22623.337890625, tensor(4.0813))
INFO:10:train:(60122.83984375, tensor(11.6558))
INFO:10:test:(22369.912109375, tensor(4.0407))
INFO:11:train:(58154.31640625, tensor(11.3556))
INFO:11:test:(22199.173828125, tensor(4.0135))
INFO:12:train:(45322.7265625, tensor(9.4495))
INFO:12:test:(22188.728515625, tensor(4.0126))
INFO:13:train:(39538.9296875, tensor(8.2930))
INFO:13:test:(22406.0703125, tensor(4.0489))
INFO:14:train:(42596.328125, tensor(8.5710))
