INFO:0:train:(33431.7578125, tensor(5.9129))
INFO:0:test:(12266.3876953125, tensor(2.3888))
INFO:1:train:(66052.171875, tensor(12.3595))
INFO:1:test:(16768.125, tensor(3.1327))
INFO:2:train:(30999.08203125, tensor(6.2225))
INFO:2:test:(16972.04296875, tensor(3.1664))
INFO:3:train:(20213.451171875, tensor(3.9033))
INFO:3:test:(15589.994140625, tensor(2.9378))
INFO:4:train:(13843.9462890625, tensor(3.3563))
INFO:4:test:(13219.35546875, tensor(2.5452))
INFO:5:train:(11940.95703125, tensor(3.8906))
INFO:5:test:(14136.35546875, tensor(2.6960))
INFO:6:train:(21883.970703125, tensor(4.3837))
INFO:6:test:(12001.3173828125, tensor(2.3426))
INFO:7:train:(6180.9013671875, tensor(1.7230))
INFO:7:test:(9435.0244140625, tensor(1.9219))
INFO:8:train:(14558.994140625, tensor(3.3271))
INFO:8:test:(10189.666015625, tensor(2.0436))
INFO:9:train:(8947.294921875, tensor(2.1872))
INFO:9:test:(11874.880859375, tensor(2.3206))
INFO:10:train:(7823.4755859375, tensor(2.2478))
INFO:10:test:(12205.2412109375, tensor(2.3751))
INFO:11:train:(9175.451171875, tensor(2.4572))
INFO:11:test:(11660.74609375, tensor(2.2849))
INFO:12:train:(6938.033203125, tensor(1.9874))
INFO:12:test:(10483.587890625, tensor(2.0906))
INFO:13:train:(5387.44970703125, tensor(1.4495))
INFO:13:test:(9801.6025390625, tensor(1.9791))
INFO:14:train:(6370.8671875, tensor(1.5079))
INFO:14:test:(9926.3095703125, tensor(1.9992))
INFO:15:train:(5948.80712890625, tensor(1.4005))
INFO:15:test:(10831.734375, tensor(2.1477))
INFO:16:train:(4220.22021484375, tensor(1.0892))
INFO:16:test:(11942.4033203125, tensor(2.3307))
INFO:17:train:(4621.16064453125, tensor(1.1470))
INFO:17:test:(12406.3037109375, tensor(2.4080))
INFO:18:train:(5526.005859375, tensor(1.2906))
INFO:18:test:(12238.140625, tensor(2.3798))
INFO:19:train:(4692.46435546875, tensor(1.1685))
INFO:19:test:(11516.8154296875, tensor(2.2604))
INFO:20:train:(3694.564453125, tensor(1.0560))
INFO:20:test:(10687.9501953125, tensor(2.1236))
INFO:21:train:(4514.6640625, tensor(1.1798))
INFO:21:test:(10411.521484375, tensor(2.0782))
INFO:22:train:(4899.169921875, tensor(1.2178))
INFO:22:test:(10665.712890625, tensor(2.1200))
INFO:23:train:(4221.6650390625, tensor(1.0878))
INFO:23:test:(11172.39453125, tensor(2.2033))
INFO:24:train:(3546.74169921875, tensor(1.0056))
INFO:24:test:(11517.8486328125, tensor(2.2604))
INFO:25:train:(3773.50390625, tensor(1.0476))
INFO:25:test:(11339.140625, tensor(2.2306))
INFO:26:train:(3969.452392578125, tensor(1.0970))
INFO:26:test:(10805.9833984375, tensor(2.1424))
INFO:27:train:(3733.189697265625, tensor(1.0883))
INFO:27:test:(10378.912109375, tensor(2.0721))
INFO:28:train:(3617.86572265625, tensor(1.0147))
INFO:28:test:(10311.689453125, tensor(2.0613))
INFO:29:train:(3606.776123046875, tensor(0.9610))
INFO:29:test:(10585.794921875, tensor(2.1063))
INFO:30:train:(3256.65185546875, tensor(0.9100))
INFO:30:test:(11020.91015625, tensor(2.1781))
INFO:31:train:(3290.36669921875, tensor(0.9650))
INFO:31:test:(11448.2578125, tensor(2.2483))
