INFO:0:train:(124850.1328125, tensor(17.6806))
INFO:0:test:(60864.8203125, tensor(10.5455))
INFO:1:train:(64151.1015625, tensor(11.0308))
INFO:1:test:(30277168.0, tensor(509.4137))
INFO:2:train:(30240524.0, tensor(509.0996))
INFO:2:test:(16969096.0, tensor(375.7207))
INFO:3:train:(16995396.0, tensor(376.0186))
INFO:3:test:(144369.03125, tensor(22.5996))
INFO:4:train:(147724.234375, tensor(22.9247))
INFO:4:test:(1943560.0, tensor(114.8659))
INFO:5:train:(1945186.5, tensor(114.9557))
INFO:5:test:(1243441.875, tensor(91.6014))
INFO:6:train:(1241944.375, tensor(91.5493))
INFO:6:test:(836936.8125, tensor(72.0720))
INFO:7:train:(842329.375, tensor(72.3202))
INFO:7:test:(1040829.75, tensor(81.6585))
INFO:8:train:(1047662.125, tensor(81.9421))
INFO:8:test:(763249.75, tensor(65.8646))
INFO:9:train:(769412.125, tensor(66.1707))
INFO:9:test:(506226.9375, tensor(50.1229))
INFO:10:train:(511914.1875, tensor(50.4680))
INFO:10:test:(349322.46875, tensor(38.8553))
INFO:11:train:(354518.46875, tensor(39.2307))
INFO:11:test:(223184.5625, tensor(28.7540))
INFO:12:train:(227111.15625, tensor(29.0892))
INFO:12:test:(157732.046875, tensor(24.0598))
INFO:13:train:(160054.21875, tensor(24.2543))
INFO:13:test:(167447.15625, tensor(25.1997))
INFO:14:train:(168463.59375, tensor(25.2809))
INFO:14:test:(143217.9375, tensor(22.6153))
INFO:15:train:(144293.4375, tensor(22.7146))
INFO:15:test:(129214.015625, tensor(21.6623))
INFO:16:train:(130439.59375, tensor(21.7918))
INFO:16:test:(140720.5625, tensor(23.3069))
INFO:17:train:(142095.65625, tensor(23.4351))
INFO:17:test:(137086.4375, tensor(23.1957))
INFO:18:train:(139211.84375, tensor(23.3941))
INFO:18:test:(120038.421875, tensor(20.7605))
INFO:19:train:(122649.1328125, tensor(21.0147))
INFO:19:test:(102983.265625, tensor(18.0605))
INFO:20:train:(104127.8515625, tensor(18.1634))
INFO:20:test:(98567.625, tensor(17.5609))
INFO:21:train:(99737.09375, tensor(17.6744))
INFO:21:test:(77160.203125, tensor(15.0330))
INFO:22:train:(79146.9921875, tensor(15.2259))
INFO:22:test:(187500.859375, tensor(27.9190))
INFO:23:train:(191112.71875, tensor(28.2079))
INFO:23:test:(112777.28125, tensor(19.8050))
INFO:24:train:(113520.3671875, tensor(19.8350))
INFO:24:test:(83491.609375, tensor(14.9707))
INFO:25:train:(85963.0625, tensor(15.2820))
INFO:25:test:(134430.53125, tensor(22.6835))
INFO:26:train:(137098.09375, tensor(22.9284))
INFO:26:test:(70465.5390625, tensor(13.4674))
INFO:27:train:(71314.921875, tensor(13.5632))
INFO:27:test:(91199.53125, tensor(16.4766))
INFO:28:train:(91390.5390625, tensor(16.4610))
INFO:28:test:(64974.78515625, tensor(13.2253))
INFO:29:train:(66901.1171875, tensor(13.4642))
INFO:29:test:(41436.046875, tensor(9.1286))
INFO:30:train:(43252.0390625, tensor(9.3978))
INFO:30:test:(42524.5390625, tensor(8.9884))
INFO:31:train:(43935.5859375, tensor(9.1853))
INFO:31:test:(44155.68359375, tensor(9.2284))
INFO:32:train:(45667.78125, tensor(9.4533))
INFO:32:test:(48186.54296875, tensor(9.5947))
INFO:33:train:(50159.91015625, tensor(9.8870))
INFO:33:test:(43713.203125, tensor(9.0175))
INFO:34:train:(45751.296875, tensor(9.3277))
INFO:34:test:(202037.75, tensor(30.0371))
INFO:35:train:(200142.6875, tensor(29.8092))
INFO:35:test:(41413.80859375, tensor(8.5692))
INFO:36:train:(43198.0078125, tensor(8.8665))
INFO:36:test:(142226.71875, tensor(24.0336))
INFO:37:train:(145546.0625, tensor(24.3095))
INFO:37:test:(43464.10546875, tensor(9.6762))
INFO:38:train:(46156.859375, tensor(10.0895))
INFO:38:test:(158101.78125, tensor(25.4517))
INFO:39:train:(157286.765625, tensor(25.3127))
INFO:39:test:(80461.234375, tensor(15.4219))
INFO:40:train:(81235.46875, tensor(15.4718))
INFO:40:test:(92874.9375, tensor(17.4269))
INFO:41:train:(95757.734375, tensor(17.7299))
INFO:41:test:(101033.6640625, tensor(18.4101))
INFO:42:train:(103870.03125, tensor(18.7021))
INFO:42:test:(33049.6328125, tensor(7.3301))
INFO:43:train:(34824.54296875, tensor(7.6404))
INFO:43:test:(74470.203125, tensor(15.1122))
INFO:44:train:(75084.4609375, tensor(15.1434))
INFO:44:test:(46941.39453125, tensor(10.7048))
INFO:45:train:(48202.6640625, tensor(10.8468))
INFO:45:test:(31421.69921875, tensor(7.1249))
INFO:46:train:(33871.4453125, tensor(7.5451))
INFO:46:test:(50117.765625, tensor(10.1950))
INFO:47:train:(52111.6953125, tensor(10.4370))
INFO:47:test:(30533.0859375, tensor(6.6949))
INFO:48:train:(32836.16796875, tensor(7.1044))
INFO:48:test:(28658.548828125, tensor(6.5090))
INFO:49:train:(30445.72265625, tensor(6.8281))
INFO:49:test:(29675.21484375, tensor(6.5887))
INFO:50:train:(30919.017578125, tensor(6.7900))
INFO:50:test:(34674.80859375, tensor(7.4103))
INFO:51:train:(35935.2734375, tensor(7.6231))
INFO:51:test:(22793.82421875, tensor(5.2007))
INFO:52:train:(24586.89453125, tensor(5.5860))
INFO:52:test:(24960.052734375, tensor(6.2764))
INFO:53:train:(26996.79296875, tensor(6.6358))
INFO:53:test:(27916.396484375, tensor(7.0314))
INFO:54:train:(30025.021484375, tensor(7.3742))
INFO:54:test:(22874.265625, tensor(5.6024))
INFO:55:train:(25052.001953125, tensor(6.0242))
INFO:55:test:(16169.765625, tensor(3.8232))
INFO:56:train:(18489.578125, tensor(4.3655))
INFO:56:test:(18169.6875, tensor(4.6375))
INFO:57:train:(20473.732421875, tensor(5.1246))
INFO:57:test:(17875.431640625, tensor(4.6984))
INFO:58:train:(20133.58984375, tensor(5.1559))
INFO:58:test:(16440.521484375, tensor(4.0543))
INFO:59:train:(18583.15234375, tensor(4.5386))
INFO:59:test:(15956.19921875, tensor(3.7879))
INFO:60:train:(18063.763671875, tensor(4.2815))
INFO:60:test:(15429.18359375, tensor(3.5761))
INFO:61:train:(17541.611328125, tensor(4.0803))
INFO:61:test:(13106.8125, tensor(3.1705))
INFO:62:train:(15370.61328125, tensor(3.7032))
INFO:62:test:(14086.54296875, tensor(3.3584))
INFO:63:train:(16310.32421875, tensor(3.8736))
INFO:63:test:(13242.462890625, tensor(3.1124))
INFO:64:train:(15465.1611328125, tensor(3.6461))
INFO:64:test:(12432.291015625, tensor(2.8992))
INFO:65:train:(14723.53125, tensor(3.4524))
INFO:65:test:(12438.3046875, tensor(3.0335))
INFO:66:train:(14615.79296875, tensor(3.5786))
INFO:66:test:(11285.9248046875, tensor(2.7466))
INFO:67:train:(13460.7216796875, tensor(3.3141))
INFO:67:test:(11603.77734375, tensor(2.7783))
INFO:68:train:(13744.994140625, tensor(3.3442))
INFO:68:test:(11529.9716796875, tensor(2.7964))
INFO:69:train:(13781.2138671875, tensor(3.3652))
INFO:69:test:(10966.5634765625, tensor(2.7014))
INFO:70:train:(13247.935546875, tensor(3.2796))
INFO:70:test:(9558.6171875, tensor(2.4092))
INFO:71:train:(11784.7578125, tensor(3.0115))
INFO:71:test:(11186.0654296875, tensor(2.7850))
INFO:72:train:(13392.962890625, tensor(3.3542))
INFO:72:test:(10184.8515625, tensor(2.5274))
INFO:73:train:(12485.240234375, tensor(3.1300))
INFO:73:test:(9350.27734375, tensor(2.2808))
INFO:74:train:(11709.0361328125, tensor(2.9125))
INFO:74:test:(10223.3642578125, tensor(2.4505))
INFO:75:train:(12588.7314453125, tensor(3.0666))
INFO:75:test:(9092.359375, tensor(2.2365))
INFO:76:train:(11441.2373046875, tensor(2.8746))
INFO:76:test:(9096.4306640625, tensor(2.2334))
