INFO:0:train:(26512.41796875, tensor(4.9980))
INFO:0:test:(23853.6015625, tensor(4.4269))
INFO:1:train:(24759.29296875, tensor(4.7182))
INFO:1:test:(21850.412109375, tensor(4.0930))
INFO:2:train:(23010.28515625, tensor(4.4405))
INFO:2:test:(19781.9609375, tensor(3.7505))
INFO:3:train:(21231.4921875, tensor(4.1614))
INFO:3:test:(17618.11328125, tensor(3.3963))
INFO:4:train:(19401.5078125, tensor(3.8792))
INFO:4:test:(15346.4384765625, tensor(3.0311))
INFO:5:train:(17511.25, tensor(3.5963))
INFO:5:test:(13013.45703125, tensor(2.6637))
INFO:6:train:(15583.87890625, tensor(3.3217))
INFO:6:test:(10814.482421875, tensor(2.3272))
INFO:7:train:(13768.177734375, tensor(3.0845))
INFO:7:test:(9932.9765625, tensor(2.1712))
INFO:8:train:(13225.1396484375, tensor(3.0089))
INFO:8:test:(9557.1865234375, tensor(2.1255))
INFO:9:train:(13027.791015625, tensor(2.9917))
INFO:9:test:(8752.388671875, tensor(1.9899))
INFO:10:train:(12315.2666015625, tensor(2.8815))
INFO:10:test:(7875.47705078125, tensor(1.8410))
INFO:11:train:(11499.2275390625, tensor(2.7563))
INFO:11:test:(7152.23291015625, tensor(1.7161))
INFO:12:train:(10827.9951171875, tensor(2.6509))
INFO:12:test:(6693.47216796875, tensor(1.6240))
INFO:13:train:(10408.294921875, tensor(2.5736))
INFO:13:test:(6381.3603515625, tensor(1.5602))
INFO:14:train:(10119.306640625, tensor(2.5200))
INFO:14:test:(6135.70458984375, tensor(1.5155))
INFO:15:train:(9888.8896484375, tensor(2.4825))
INFO:15:test:(5947.73291015625, tensor(1.4829))
INFO:16:train:(9715.5849609375, tensor(2.4550))
INFO:16:test:(5806.76123046875, tensor(1.4581))
INFO:17:train:(9588.77734375, tensor(2.4340))
INFO:17:test:(5686.45849609375, tensor(1.4382))
INFO:18:train:(9478.6142578125, tensor(2.4168))
INFO:18:test:(5580.62744140625, tensor(1.4219))
INFO:19:train:(9383.3125, tensor(2.4024))
INFO:19:test:(5496.92431640625, tensor(1.4097))
INFO:20:train:(9310.783203125, tensor(2.3912))
INFO:20:test:(5429.32958984375, tensor(1.4013))
INFO:21:train:(9253.3330078125, tensor(2.3829))
INFO:21:test:(5372.33447265625, tensor(1.3963))
INFO:22:train:(9204.3076171875, tensor(2.3775))
INFO:22:test:(5324.9716796875, tensor(1.3939))
INFO:23:train:(9163.3916015625, tensor(2.3742))
INFO:23:test:(5282.943359375, tensor(1.3926))
INFO:24:train:(9126.63671875, tensor(2.3719))
INFO:24:test:(5241.9716796875, tensor(1.3906))
INFO:25:train:(9091.8583984375, tensor(2.3693))
INFO:25:test:(5199.189453125, tensor(1.3864))
INFO:26:train:(9054.583984375, tensor(2.3650))
INFO:26:test:(5158.87158203125, tensor(1.3796))
INFO:27:train:(9019.3701171875, tensor(2.3588))
INFO:27:test:(5121.482421875, tensor(1.3708))
INFO:28:train:(8985.2216796875, tensor(2.3509))
INFO:28:test:(5087.84375, tensor(1.3609))
INFO:29:train:(8952.5107421875, tensor(2.3423))
INFO:29:test:(5059.82763671875, tensor(1.3509))
INFO:30:train:(8924.56640625, tensor(2.3338))
INFO:30:test:(5038.59619140625, tensor(1.3420))
INFO:31:train:(8903.517578125, tensor(2.3264))
INFO:31:test:(5023.40478515625, tensor(1.3347))
INFO:32:train:(8887.33984375, tensor(2.3204))
INFO:32:test:(5012.13134765625, tensor(1.3293))
INFO:33:train:(8875.53515625, tensor(2.3160))
INFO:33:test:(5001.82080078125, tensor(1.3258))
