INFO:0:train:(100638.140625, tensor(14.8891))
INFO:0:test:(70540296.0, tensor(790.9604))
INFO:1:train:(70456472.0, tensor(790.4880))
INFO:1:test:(4289011908608.0, tensor(199127.4844))
INFO:2:train:(4266610917376.0, tensor(198603.6719))
INFO:2:test:(1626369425408.0, tensor(122696.9141))
INFO:3:train:(1621326823424.0, tensor(122506.6484))
INFO:3:test:(17223329513472.0, tensor(399311.5938))
INFO:4:train:(17226764648448.0, tensor(399349.2500))
INFO:4:test:(3305891168256.0, tensor(174874.4844))
INFO:5:train:(3308167626752.0, tensor(174935.3438))
INFO:5:test:(1026396585984.0, tensor(97463.1172))
INFO:6:train:(1024220659712.0, tensor(97359.5234))
INFO:6:test:(3501700939776.0, tensor(179796.8281))
INFO:7:train:(3524690706432.0, tensor(180391.4531))
INFO:7:test:(22489923584.0, tensor(14399.9570))
INFO:8:train:(22451146752.0, tensor(14387.4990))
INFO:8:test:(23409010688.0, tensor(14704.9463))
INFO:9:train:(23711006720.0, tensor(14799.6045))
INFO:9:test:(39054422016.0, tensor(18996.8418))
INFO:10:train:(39784935424.0, tensor(19173.9902))
INFO:10:test:(14843498496.0, tensor(11702.8027))
INFO:11:train:(15052314624.0, tensor(11785.0156))
INFO:11:test:(4686819840.0, tensor(6571.2588))
INFO:12:train:(4749132800.0, tensor(6614.9189))
INFO:12:test:(1951129728.0, tensor(4234.9292))
INFO:13:train:(1976174848.0, tensor(4262.1201))
INFO:13:test:(425910976.0, tensor(1970.2610))
