INFO:0:train:(1.1568472385406494, tensor(51.2505))
INFO:0:test:(0.004685769788920879, tensor(3.2609))
INFO:1:train:(6.248062610626221, tensor(119.4986))
INFO:1:test:(0.00289517012424767, tensor(2.5474))
INFO:2:train:(5.407175540924072, tensor(110.4133))
INFO:2:test:(0.002596954582259059, tensor(2.4067))
INFO:3:train:(1.5277408361434937, tensor(58.9389))
INFO:3:test:(0.002739783376455307, tensor(2.4755))
INFO:4:train:(0.27921047806739807, tensor(24.9624))
INFO:4:test:(0.0038338229060173035, tensor(2.9458))
INFO:5:train:(0.4391416311264038, tensor(31.6596))
INFO:5:test:(0.004262056201696396, tensor(3.1110))
INFO:6:train:(0.3096442222595215, tensor(26.6377))
INFO:6:test:(0.00457373633980751, tensor(3.2258))
INFO:7:train:(0.07102362811565399, tensor(12.3752))
INFO:7:test:(0.006011646706610918, tensor(3.7058))
