INFO:0:train:(8666.703125, tensor(2.0701))
INFO:0:test:(6262.8017578125, tensor(1.4682))
INFO:1:train:(7975.9853515625, tensor(1.9210))
INFO:1:test:(5530.80908203125, tensor(1.3250))
INFO:2:train:(7390.56396484375, tensor(1.8177))
INFO:2:test:(4896.6630859375, tensor(1.2194))
INFO:3:train:(6912.3896484375, tensor(1.7545))
INFO:3:test:(4416.06103515625, tensor(1.1606))
INFO:4:train:(6586.6015625, tensor(1.7379))
INFO:4:test:(4169.076171875, tensor(1.1560))
INFO:5:train:(6469.376953125, tensor(1.7682))
INFO:5:test:(4180.970703125, tensor(1.1890))
INFO:6:train:(6562.1533203125, tensor(1.8198))
INFO:6:test:(4234.61669921875, tensor(1.2123))
INFO:7:train:(6645.6484375, tensor(1.8494))
INFO:7:test:(4205.9404296875, tensor(1.2113))
INFO:8:train:(6621.810546875, tensor(1.8502))
INFO:8:test:(4131.0966796875, tensor(1.1932))
INFO:9:train:(6532.3427734375, tensor(1.8311))
INFO:9:test:(4065.83203125, tensor(1.1698))
INFO:10:train:(6441.958984375, tensor(1.8038))
INFO:10:test:(4045.465087890625, tensor(1.1498))
INFO:11:train:(6390.04736328125, tensor(1.7771))
INFO:11:test:(4063.698486328125, tensor(1.1369))
INFO:12:train:(6374.48583984375, tensor(1.7559))
INFO:12:test:(4101.392578125, tensor(1.1304))
INFO:13:train:(6381.45458984375, tensor(1.7413))
INFO:13:test:(4139.54150390625, tensor(1.1278))
INFO:14:train:(6395.7236328125, tensor(1.7325))
INFO:14:test:(4163.91650390625, tensor(1.1267))
INFO:15:train:(6406.0888671875, tensor(1.7278))
INFO:15:test:(4169.0, tensor(1.1257))
INFO:16:train:(6407.46240234375, tensor(1.7260))
INFO:16:test:(4153.93310546875, tensor(1.1240))
INFO:17:train:(6397.677734375, tensor(1.7260))
INFO:17:test:(4122.50830078125, tensor(1.1226))
INFO:18:train:(6379.86865234375, tensor(1.7286))
INFO:18:test:(4089.01806640625, tensor(1.1250))
INFO:19:train:(6367.39892578125, tensor(1.7366))
INFO:19:test:(4064.93994140625, tensor(1.1302))
INFO:20:train:(6365.0810546875, tensor(1.7473))
INFO:20:test:(4038.9697265625, tensor(1.1323))
INFO:21:train:(6355.423828125, tensor(1.7537))
INFO:21:test:(4020.612060546875, tensor(1.1332))
INFO:22:train:(6346.546875, tensor(1.7573))
INFO:22:test:(4011.57861328125, tensor(1.1332))
INFO:23:train:(6340.9384765625, tensor(1.7583))
INFO:23:test:(4006.489990234375, tensor(1.1315))
INFO:24:train:(6335.00732421875, tensor(1.7566))
INFO:24:test:(4006.314453125, tensor(1.1293))
INFO:25:train:(6330.630859375, tensor(1.7534))
