INFO:0:train:(18943.939453125, tensor(3.6493))
INFO:0:test:(18102.703125, tensor(3.4417))
INFO:1:train:(17409.75390625, tensor(3.4321))
INFO:1:test:(16436.6328125, tensor(3.2110))
INFO:2:train:(15932.505859375, tensor(3.2301))
INFO:2:test:(14806.345703125, tensor(2.9944))
INFO:3:train:(14532.875, tensor(3.0465))
INFO:3:test:(13352.68359375, tensor(2.7945))
INFO:4:train:(13299.447265625, tensor(2.8838))
INFO:4:test:(12409.91015625, tensor(2.6084))
INFO:5:train:(12512.0205078125, tensor(2.7386))
INFO:5:test:(11552.99609375, tensor(2.4205))
INFO:6:train:(11800.88671875, tensor(2.5891))
INFO:6:test:(10469.5634765625, tensor(2.2222))
INFO:7:train:(10873.0400390625, tensor(2.4269))
INFO:7:test:(9179.6884765625, tensor(2.0067))
INFO:8:train:(9763.0595703125, tensor(2.2497))
INFO:8:test:(7787.16064453125, tensor(1.7748))
INFO:9:train:(8589.8671875, tensor(2.0665))
INFO:9:test:(6615.77001953125, tensor(1.5714))
INFO:10:train:(7577.58837890625, tensor(1.9026))
INFO:10:test:(5880.69091796875, tensor(1.4182))
INFO:11:train:(6854.171875, tensor(1.7581))
INFO:11:test:(5596.88818359375, tensor(1.3251))
INFO:12:train:(6578.2451171875, tensor(1.6750))
INFO:12:test:(5313.4873046875, tensor(1.2571))
INFO:13:train:(6330.8544921875, tensor(1.6229))
INFO:13:test:(4951.091796875, tensor(1.1913))
INFO:14:train:(6031.16650390625, tensor(1.5761))
INFO:14:test:(4567.5263671875, tensor(1.1213))
INFO:15:train:(5735.634765625, tensor(1.5284))
INFO:15:test:(4213.02294921875, tensor(1.0543))
INFO:16:train:(5489.490234375, tensor(1.4884))
INFO:16:test:(3895.556396484375, tensor(0.9971))
INFO:17:train:(5283.763671875, tensor(1.4608))
INFO:17:test:(3630.68896484375, tensor(0.9537))
INFO:18:train:(5122.89599609375, tensor(1.4462))
INFO:18:test:(3425.090576171875, tensor(0.9252))
INFO:19:train:(5007.96728515625, tensor(1.4427))
INFO:19:test:(3285.02978515625, tensor(0.9090))
INFO:20:train:(4936.66015625, tensor(1.4459))
INFO:20:test:(3204.541015625, tensor(0.9001))
INFO:21:train:(4901.6376953125, tensor(1.4503))
INFO:21:test:(3160.18505859375, tensor(0.8925))
INFO:22:train:(4886.01904296875, tensor(1.4507))
INFO:22:test:(3124.376708984375, tensor(0.8821))
INFO:23:train:(4864.79296875, tensor(1.4439))
INFO:23:test:(3083.7587890625, tensor(0.8689))
INFO:24:train:(4829.55615234375, tensor(1.4312))
INFO:24:test:(3049.939697265625, tensor(0.8560))
INFO:25:train:(4795.6328125, tensor(1.4169))
INFO:25:test:(3030.341064453125, tensor(0.8462))
INFO:26:train:(4774.43017578125, tensor(1.4058))
INFO:26:test:(3016.875, tensor(0.8402))
INFO:27:train:(4761.9501953125, tensor(1.3995))
INFO:27:test:(3002.19140625, tensor(0.8372))
INFO:28:train:(4753.33447265625, tensor(1.3983))
INFO:28:test:(2984.818115234375, tensor(0.8365))
