INFO:0:train:(80430.0775, tensor(12.3466))
INFO:0:test:(75753.395, tensor(11.4772))
INFO:1:train:(77528.255, tensor(11.7415))
INFO:1:test:(72547.685, tensor(10.8758))
INFO:2:train:(73268.0925, tensor(11.0714))
INFO:2:test:(65802.79, tensor(10.1241))
INFO:3:train:(65827.32, tensor(10.2306))
INFO:3:test:(55909.695, tensor(9.0433))
INFO:4:train:(54477.0475, tensor(9.0240))
INFO:4:test:(42948.115, tensor(7.6838))
INFO:5:train:(40655.105, tensor(7.5277))
INFO:5:test:(32788.2925, tensor(6.3787))
INFO:6:train:(34326.32625, tensor(6.6453))
INFO:6:test:(29468.54875, tensor(5.8940))
INFO:7:train:(29381.345, tensor(5.9220))
INFO:7:test:(24874.21125, tensor(5.1238))
INFO:8:train:(22997.52875, tensor(4.8943))
INFO:8:test:(17715.53875, tensor(3.8981))
INFO:9:train:(18938.71875, tensor(4.2469))
INFO:9:test:(14956.2475, tensor(3.4175))
