INFO:0:train:(1.3813985441298945e-05, tensor(0.0472))
INFO:0:test:(6.125890173116435e-06, tensor(0.0241))
INFO:1:train:(7.294960453939007e-06, tensor(0.0260))
INFO:1:test:(5.241207603586071e-06, tensor(0.0215))
INFO:2:train:(6.8581144219824466e-06, tensor(0.0247))
INFO:2:test:(5.402861623612337e-06, tensor(0.0218))
INFO:3:train:(6.597015936214034e-06, tensor(0.0239))
INFO:3:test:(4.61440361469817e-06, tensor(0.0200))
INFO:4:train:(6.431620510038821e-06, tensor(0.0233))
INFO:4:test:(4.4930651775489955e-06, tensor(0.0196))
INFO:5:train:(6.309051958752672e-06, tensor(0.0229))
INFO:5:test:(4.433287465595601e-06, tensor(0.0195))
INFO:6:train:(6.235057300514383e-06, tensor(0.0227))
INFO:6:test:(4.317945678921311e-06, tensor(0.0193))
INFO:7:train:(6.175328002801704e-06, tensor(0.0225))
INFO:7:test:(4.389106667654126e-06, tensor(0.0192))
INFO:8:train:(6.132056792980807e-06, tensor(0.0223))
INFO:8:test:(4.275157393281774e-06, tensor(0.0186))
INFO:9:train:(6.094949329076312e-06, tensor(0.0222))
INFO:9:test:(4.19850554163968e-06, tensor(0.0185))
INFO:10:train:(6.065225089306951e-06, tensor(0.0221))
INFO:10:test:(4.295806637838259e-06, tensor(0.0186))
INFO:11:train:(6.033852008845751e-06, tensor(0.0220))
INFO:11:test:(4.2405938563909526e-06, tensor(0.0186))
INFO:12:train:(6.009792437739923e-06, tensor(0.0219))
INFO:12:test:(4.142490881069841e-06, tensor(0.0183))
INFO:13:train:(5.98638269081345e-06, tensor(0.0218))
INFO:13:test:(4.204073035314519e-06, tensor(0.0188))
INFO:14:train:(5.963722966157071e-06, tensor(0.0218))
INFO:14:test:(4.256231831124607e-06, tensor(0.0187))
INFO:15:train:(5.941143408316093e-06, tensor(0.0217))
INFO:15:test:(4.1480793489350475e-06, tensor(0.0185))
INFO:16:train:(5.921029911134534e-06, tensor(0.0216))
INFO:16:test:(4.192815585532772e-06, tensor(0.0185))
INFO:17:train:(5.902585273939124e-06, tensor(0.0216))
INFO:17:test:(4.135349476372573e-06, tensor(0.0183))
INFO:18:train:(5.880673995639912e-06, tensor(0.0215))
INFO:18:test:(4.333130451079785e-06, tensor(0.0185))
INFO:19:train:(5.866975599506963e-06, tensor(0.0215))
INFO:19:test:(4.122419814716273e-06, tensor(0.0184))
INFO:20:train:(5.848585042037827e-06, tensor(0.0214))
INFO:20:test:(4.236803764672815e-06, tensor(0.0184))
INFO:21:train:(5.838727315260327e-06, tensor(0.0214))
INFO:21:test:(4.160501079480456e-06, tensor(0.0183))
INFO:22:train:(5.82409717508403e-06, tensor(0.0213))
INFO:22:test:(4.156611965398189e-06, tensor(0.0183))
INFO:23:train:(5.813398213716773e-06, tensor(0.0213))
INFO:23:test:(4.45639720253346e-06, tensor(0.0190))
INFO:24:train:(5.802784068682011e-06, tensor(0.0213))
INFO:24:test:(4.095515996931396e-06, tensor(0.0182))
INFO:25:train:(5.794603071042464e-06, tensor(0.0212))
INFO:25:test:(4.13306964981488e-06, tensor(0.0183))
INFO:26:train:(5.784116324984085e-06, tensor(0.0212))
INFO:26:test:(4.145043746911435e-06, tensor(0.0182))
INFO:27:train:(5.775757396406211e-06, tensor(0.0212))
INFO:27:test:(4.140448106783745e-06, tensor(0.0183))
INFO:28:train:(5.764720911976283e-06, tensor(0.0211))
INFO:28:test:(4.029458891274082e-06, tensor(0.0179))
INFO:29:train:(5.75800926969299e-06, tensor(0.0211))
INFO:29:test:(4.235211318120791e-06, tensor(0.0180))
INFO:30:train:(5.75374336253722e-06, tensor(0.0211))
INFO:30:test:(4.061439317344056e-06, tensor(0.0180))
INFO:31:train:(5.744179496129592e-06, tensor(0.0211))
INFO:31:test:(4.034765685904022e-06, tensor(0.0179))
INFO:32:train:(5.73756125976048e-06, tensor(0.0211))
INFO:32:test:(4.118971187271625e-06, tensor(0.0179))
