INFO:0:train:(0.0017736513674336824, tensor(5.3210))
INFO:0:test:(0.0009979028679931844, tensor(3.0635))
INFO:1:train:(0.0013264401829976337, tensor(4.1030))
INFO:1:test:(0.0009588815364363429, tensor(2.9386))
INFO:2:train:(0.0012827319646792027, tensor(3.9798))
INFO:2:test:(0.0009482615481922775, tensor(2.9126))
INFO:3:train:(0.001258685475338694, tensor(3.9121))
INFO:3:test:(0.0009445194040911984, tensor(2.9096))
INFO:4:train:(0.0012406317787799599, tensor(3.8609))
INFO:4:test:(0.0009414137620444153, tensor(2.8997))
INFO:5:train:(0.0012270034249804807, tensor(3.8212))
INFO:5:test:(0.0009451425386570296, tensor(2.9143))
INFO:6:train:(0.0012148330381336332, tensor(3.7855))
INFO:6:test:(0.0009387618108877903, tensor(2.8864))
INFO:7:train:(0.0012044177768613686, tensor(3.7555))
INFO:7:test:(0.0009327317067841587, tensor(2.8735))
INFO:8:train:(0.001196401449483733, tensor(3.7323))
INFO:8:test:(0.0009259488580727841, tensor(2.8516))
INFO:9:train:(0.0011899512173956265, tensor(3.7140))
INFO:9:test:(0.0009301216743843754, tensor(2.8672))
INFO:10:train:(0.0011842093963768785, tensor(3.6972))
INFO:10:test:(0.0009307932679101991, tensor(2.8610))
INFO:11:train:(0.0011778139488798306, tensor(3.6789))
INFO:11:test:(0.0009319854485206648, tensor(2.8737))
INFO:12:train:(0.0011747391032653931, tensor(3.6702))
INFO:12:test:(0.0009231045711904249, tensor(2.8459))
INFO:13:train:(0.004191084162396166, tensor(11.6834))
INFO:13:test:(0.0025749649257189905, tensor(7.3181))
INFO:14:train:(0.004019736712852354, tensor(11.2606))
INFO:14:test:(0.0025423758399381376, tensor(7.2932))
INFO:15:train:(0.0034350882587034404, tensor(9.8391))
INFO:15:test:(0.001460050191694355, tensor(4.3797))
INFO:16:train:(0.0015632383941869667, tensor(4.7844))
INFO:16:test:(0.001015751304869562, tensor(3.1010))
INFO:17:train:(0.0013400914866368316, tensor(4.1432))
INFO:17:test:(0.0009874848502008824, tensor(3.0384))
INFO:18:train:(0.0012853963218856293, tensor(3.9867))
INFO:18:test:(0.0009633135751130738, tensor(2.9635))
INFO:19:train:(0.0039004913951771383, tensor(11.0981))
INFO:19:test:(0.003270143768626229, tensor(9.4689))
INFO:20:train:(0.004369522770750174, tensor(12.2533))
INFO:20:test:(0.002977992725725264, tensor(8.3169))
INFO:21:train:(0.004077528758781435, tensor(11.2873))
INFO:21:test:(0.004003934817978192, tensor(10.5106))
INFO:22:train:(0.005891783847434737, tensor(15.4250))
INFO:22:test:(0.0039318000764622255, tensor(10.3486))
INFO:23:train:(0.005070489837542385, tensor(13.5638))
INFO:23:test:(0.0025764154584220285, tensor(7.2420))
INFO:24:train:(0.0038868526535423284, tensor(10.8014))
INFO:24:test:(0.0025986081028023978, tensor(7.2586))
INFO:25:train:(0.0038308783054965515, tensor(10.6847))
INFO:25:test:(0.002648722939090755, tensor(7.3618))
INFO:26:train:(0.0028289852272388536, tensor(8.1380))
INFO:26:test:(0.0012015793528404176, tensor(3.6402))
INFO:27:train:(0.0015043430726763688, tensor(4.6163))
INFO:27:test:(0.001071244720177484, tensor(3.2610))
INFO:28:train:(0.012940812736642809, tensor(33.4965))
INFO:28:test:(0.020496084114668002, tensor(51.5049))
INFO:29:train:(0.018301097834846815, tensor(46.6792))
INFO:29:test:(0.019004897425527113, tensor(47.9232))
INFO:30:train:(0.01524758645404063, tensor(39.8520))
INFO:30:test:(0.014444350969347687, tensor(37.2639))
INFO:31:train:(0.006542195910310916, tensor(18.3189))
INFO:31:test:(0.003734473154190273, tensor(11.0070))
INFO:32:train:(0.004514130849883188, tensor(12.8793))
INFO:32:test:(0.0035284735210948616, tensor(10.1628))
INFO:33:train:(0.004382912240347196, tensor(12.5155))
INFO:33:test:(0.003428617759827284, tensor(9.8595))
INFO:34:train:(0.004177894416040508, tensor(11.8283))
INFO:34:test:(0.002741825268856707, tensor(7.7899))
INFO:35:train:(0.00408341369073027, tensor(11.5991))
INFO:35:test:(0.0031450314220375433, tensor(9.2903))
INFO:36:train:(0.004051033927981329, tensor(11.5194))
INFO:36:test:(0.0027851734379092555, tensor(7.9671))
INFO:37:train:(0.00411636416947542, tensor(11.4875))
INFO:37:test:(0.002593041203603566, tensor(7.4430))
INFO:38:train:(0.004096122316835606, tensor(11.4682))
INFO:38:test:(0.002757727141934661, tensor(7.8974))
INFO:39:train:(0.004015263815576835, tensor(11.2659))
INFO:39:test:(0.0026929913336020284, tensor(7.6144))
INFO:40:train:(0.00800752228503402, tensor(22.2637))
INFO:40:test:(0.012550303866261162, tensor(34.1734))
INFO:41:train:(0.011356434025287876, tensor(31.5079))
INFO:41:test:(0.012438075115165363, tensor(33.8525))
INFO:42:train:(0.016999543574865588, tensor(49.2885))
INFO:42:test:(0.028730539588126512, tensor(75.3126))
INFO:43:train:(0.026936740455028484, tensor(71.5209))
INFO:43:test:(0.02873040309743632, tensor(75.3123))
INFO:44:train:(0.02692328970233229, tensor(71.4874))
INFO:44:test:(0.028655442924150117, tensor(75.1272))
INFO:45:train:(0.02553585413814883, tensor(67.9965))
INFO:45:test:(0.02291972731931151, tensor(60.9687))
INFO:46:train:(0.012202189719484027, tensor(35.2098))
INFO:46:test:(0.011262832321120136, tensor(32.5358))
INFO:47:train:(0.009827528127847015, tensor(29.4156))
INFO:47:test:(0.007379095052954196, tensor(24.0533))
INFO:48:train:(0.007207811220705567, tensor(23.2730))
INFO:48:test:(0.007008122405315704, tensor(22.7960))
INFO:49:train:(0.006961802417513245, tensor(22.3877))
INFO:49:test:(0.006835685472344346, tensor(22.1576))
