INFO:0:train:(722039599.1478128, inf)
INFO:0:test:(32.6795653384457, 381972.8841049865)
INFO:1:train:(14.32492884630934, 178974.1892598992)
INFO:1:test:(1.1010501915863942, 13933.07222961889)
INFO:2:train:(0.4031829019959101, 5320.2112013377255)
INFO:2:test:(0.020167753425494515, 262.7619505011849)
INFO:3:train:(0.009289670371942725, 130.55513355106302)
INFO:3:test:(0.0007278969517700457, 6.645155164058025)
INFO:4:train:(0.0005605218908052473, 6.8336949193833405)
INFO:4:test:(0.00011261193915973264, 0.7042413673592758)
INFO:5:train:(0.00012486963104041656, 1.1783692037377589)
INFO:5:test:(6.219369511450832e-05, 0.37704333501450465)
INFO:6:train:(4.16400491096128e-05, 0.2529137130868252)
INFO:6:test:(2.659843696627879e-05, 0.1591947449447689)
INFO:7:train:(1.330774622634436e-05, 0.08519052910147037)
INFO:7:test:(3.959654296968776e-06, 0.03580485680993444)
INFO:8:train:(16630940.656814529, 106902806215.99821)
INFO:8:test:(184.04012989147, 1114860.6339993016)
INFO:9:train:(182.99691170767727, 1109349.7470149032)
INFO:9:test:(180.3695417538759, 1092838.4347357263)
INFO:10:train:(81.97361526623573, 497514.18210075394)
INFO:10:test:(0.26221981550250295, 2096.8282633764193)
INFO:11:train:(0.17429068222224298, 1352.145519323806)
INFO:11:test:(0.016481649053187993, 141.1838629222898)
INFO:12:train:(0.02175416816781271, 149.88050844817633)
INFO:12:test:(0.0017881077379664758, 13.659471730070925)
INFO:13:train:(0.0008219328295762173, 6.554701264449534)
INFO:13:test:(0.00026304109885540665, 1.8466724684364917)
INFO:14:train:(0.00017065760196750539, 1.1187326432472644)
INFO:14:test:(0.00013724629307976973, 0.8842294786490302)
INFO:15:train:(0.0037332099397207837, 22.794371908525207)
INFO:15:test:(0.00015710480225893548, 0.924466236857314)
INFO:16:train:(0.00012179357696071281, 0.7042810905899985)
INFO:16:test:(7.211528030225964e-05, 0.43298872008520484)
INFO:17:train:(2.0305101424561173e-05, 0.11947536506608385)
INFO:17:test:(3.7873857506520258e-06, 0.030415633387033358)
INFO:18:train:(3.63115209374211e-06, 0.02693589409818337)
INFO:18:test:(2.7984326716423133e-06, 0.0248630110385376)
INFO:19:train:(2.9493473391482555e-06, 0.022609833082160406)
INFO:19:test:(2.32128253907258e-06, 0.02312323152454752)
INFO:20:train:(2.5849090205192627e-06, 0.020421592188476435)
INFO:20:test:(2.1859868757947162e-06, 0.022042361874501242)
INFO:21:train:(3.8962984370786915e-06, 0.02699502980385179)
INFO:21:test:(2.3259857429307118e-06, 0.022490407536654138)
INFO:22:train:(2.6099132592674415e-06, 0.02055133895914666)
INFO:22:test:(2.184895920526126e-06, 0.02151204987284683)
INFO:23:train:(2.551911939653182e-06, 0.020246916750580317)
INFO:23:test:(2.1406498403692626e-06, 0.021563093265120424)
INFO:24:train:(2.504835550680556e-06, 0.019971602472453224)
INFO:24:test:(2.1107938814591566e-06, 0.021517712539871513)
INFO:25:train:(2.3976194141011985e-06, 0.01902362056357014)
INFO:25:test:(2.0922801603476417e-06, 0.0212735038380163)
INFO:26:train:(2.337075696533092e-06, 0.018461742491400226)
