INFO:0:train:(1.8025899021368886e-05, tensor(0.2744))
INFO:0:test:(3.7488752277567984e-06, tensor(0.0657))
INFO:1:train:(2.1000704598716563e-06, tensor(0.0438))
INFO:1:test:(1.8689165655006137e-06, tensor(0.0420))
INFO:2:train:(1.4400578091024524e-06, tensor(0.0343))
INFO:2:test:(1.7565552326333192e-06, tensor(0.0404))
INFO:3:train:(1.2949760550529592e-06, tensor(0.0317))
INFO:3:test:(1.6622743245938586e-06, tensor(0.0387))
INFO:0:train:(1.1005887495564353e-06, tensor(0.0251))
INFO:0:test:(9.674498062736885e-07, tensor(0.0252))
INFO:1:train:(9.519536922080364e-07, tensor(0.0221))
INFO:1:test:(7.847449995447363e-07, tensor(0.0232))
INFO:2:train:(9.633304148694183e-07, tensor(0.0223))
INFO:2:test:(8.332817018752972e-07, tensor(0.0237))
INFO:3:train:(9.800432534671302e-07, tensor(0.0227))
INFO:3:test:(9.362415421783686e-07, tensor(0.0254))
INFO:4:train:(9.857115497228327e-07, tensor(0.0228))
INFO:4:test:(9.61732944369172e-07, tensor(0.0256))
INFO:5:train:(8.819331210579243e-07, tensor(0.0209))
INFO:5:test:(6.999129387691915e-07, tensor(0.0210))
INFO:6:train:(1.3366779723585528e-06, tensor(0.0276))
INFO:6:test:(1.2214164105730437e-06, tensor(0.0272))
INFO:7:train:(1.2237792475929458e-06, tensor(0.0252))
INFO:7:test:(1.1166609145171546e-06, tensor(0.0256))
INFO:8:train:(1.096011498917116e-06, tensor(0.0232))
INFO:8:test:(8.560655980706976e-07, tensor(0.0222))
INFO:9:train:(9.193758445578141e-07, tensor(0.0208))
INFO:9:test:(8.103966224937513e-07, tensor(0.0222))
INFO:10:train:(8.664209665941018e-07, tensor(0.0203))
INFO:10:test:(7.043987886706243e-07, tensor(0.0209))
INFO:11:train:(8.377186793279721e-07, tensor(0.0200))
INFO:11:test:(7.047616146167836e-07, tensor(0.0213))
INFO:12:train:(8.319840840959068e-07, tensor(0.0200))
INFO:12:test:(7.037860376822759e-07, tensor(0.0212))
INFO:13:train:(8.31538684267043e-07, tensor(0.0199))
INFO:13:test:(6.906133185316703e-07, tensor(0.0209))
INFO:14:train:(8.511990596197959e-07, tensor(0.0203))
INFO:14:test:(7.258589599058604e-07, tensor(0.0217))
INFO:15:train:(8.402339073383678e-07, tensor(0.0201))
INFO:15:test:(7.127866542096536e-07, tensor(0.0218))
INFO:16:train:(8.628288539172289e-07, tensor(0.0204))
INFO:16:test:(6.96779241598478e-07, tensor(0.0209))
INFO:17:train:(8.351540457142697e-07, tensor(0.0200))
INFO:17:test:(7.02028017832606e-07, tensor(0.0216))
INFO:18:train:(8.289305282252141e-07, tensor(0.0199))
INFO:18:test:(6.943640755361808e-07, tensor(0.0212))
INFO:19:train:(8.234684232633028e-07, tensor(0.0198))
INFO:19:test:(6.874415956438512e-07, tensor(0.0208))
INFO:20:train:(1.941117279094487e-06, tensor(0.0359))
INFO:20:test:(1.581499668423843e-05, tensor(0.2342))
INFO:21:train:(1.5204341272174278e-05, tensor(0.2263))
INFO:21:test:(1.3165212228057946e-05, tensor(0.1965))
INFO:22:train:(1.098317616218024e-05, tensor(0.1664))
INFO:22:test:(8.358916628015515e-06, tensor(0.1295))
INFO:23:train:(3.019505074378508e-05, tensor(0.4524))
INFO:23:test:(5.641938407325051e-05, tensor(0.8475))
INFO:24:train:(0.0006427466277477821, tensor(14.0085))
INFO:24:test:(4.8598829814421094e-05, tensor(0.7660))
INFO:25:train:(nan, tensor(nan))
INFO:25:test:(nan, tensor(nan))
INFO:26:train:(nan, tensor(nan))
INFO:26:test:(nan, tensor(nan))
INFO:27:train:(nan, tensor(nan))
INFO:27:test:(nan, tensor(nan))
INFO:28:train:(nan, tensor(nan))
INFO:28:test:(nan, tensor(nan))
INFO:29:train:(nan, tensor(nan))
INFO:29:test:(nan, tensor(nan))
INFO:30:train:(nan, tensor(nan))
INFO:30:test:(nan, tensor(nan))
INFO:31:train:(nan, tensor(nan))
INFO:31:test:(nan, tensor(nan))
INFO:32:train:(nan, tensor(nan))
INFO:32:test:(nan, tensor(nan))
INFO:33:train:(nan, tensor(nan))
INFO:33:test:(nan, tensor(nan))
INFO:34:train:(nan, tensor(nan))
INFO:34:test:(nan, tensor(nan))
INFO:35:train:(nan, tensor(nan))
INFO:35:test:(nan, tensor(nan))
INFO:36:train:(nan, tensor(nan))
INFO:36:test:(nan, tensor(nan))
INFO:37:train:(nan, tensor(nan))
INFO:37:test:(nan, tensor(nan))
INFO:38:train:(nan, tensor(nan))
INFO:38:test:(nan, tensor(nan))
INFO:39:train:(nan, tensor(nan))
INFO:39:test:(nan, tensor(nan))
INFO:40:train:(nan, tensor(nan))
INFO:40:test:(nan, tensor(nan))
INFO:41:train:(nan, tensor(nan))
INFO:41:test:(nan, tensor(nan))
INFO:42:train:(nan, tensor(nan))
INFO:42:test:(nan, tensor(nan))
INFO:43:train:(nan, tensor(nan))
INFO:43:test:(nan, tensor(nan))
INFO:44:train:(nan, tensor(nan))
INFO:44:test:(nan, tensor(nan))
INFO:45:train:(nan, tensor(nan))
INFO:45:test:(nan, tensor(nan))
INFO:46:train:(nan, tensor(nan))
INFO:46:test:(nan, tensor(nan))
