INFO:0:train:(0.0001504198860687514, tensor(0.3699))
INFO:0:test:(2.0197607576847076e-05, tensor(0.0611))
INFO:0:train:(5.123923137537556e-06, tensor(0.0198))
INFO:0:test:(4.1544862430616834e-06, tensor(0.0208))
INFO:1:train:(4.5520960291202786e-06, tensor(0.0180))
INFO:1:test:(4.14929238449308e-06, tensor(0.0208))
INFO:2:train:(4.474684083257632e-06, tensor(0.0177))
INFO:2:test:(4.149817526074287e-06, tensor(0.0213))
INFO:3:train:(4.420437224900189e-06, tensor(0.0175))
INFO:3:test:(4.218147616817215e-06, tensor(0.0217))
INFO:4:train:(4.381424039039383e-06, tensor(0.0174))
INFO:4:test:(4.200919771594345e-06, tensor(0.0216))
INFO:5:train:(4.349231134369743e-06, tensor(0.0173))
INFO:5:test:(4.384182780289404e-06, tensor(0.0220))
INFO:6:train:(4.325023833808304e-06, tensor(0.0172))
INFO:6:test:(4.360036495443555e-06, tensor(0.0227))
INFO:7:train:(4.305150192983076e-06, tensor(0.0171))
INFO:7:test:(4.2427195293753525e-06, tensor(0.0219))
INFO:8:train:(4.291329508447089e-06, tensor(0.0171))
INFO:8:test:(4.266555379038851e-06, tensor(0.0218))
INFO:9:train:(4.289423594858285e-06, tensor(0.0171))
INFO:9:test:(4.18101987404977e-06, tensor(0.0216))
INFO:10:train:(4.261577306790745e-06, tensor(0.0170))
INFO:10:test:(4.285427046066557e-06, tensor(0.0218))
INFO:11:train:(4.248446286277444e-06, tensor(0.0169))
INFO:11:test:(4.322505655267993e-06, tensor(0.0220))
INFO:12:train:(4.239372653593569e-06, tensor(0.0169))
INFO:12:test:(4.229256597413369e-06, tensor(0.0217))
INFO:13:train:(4.229107083103267e-06, tensor(0.0168))
INFO:13:test:(4.260719722875511e-06, tensor(0.0218))
INFO:14:train:(4.220892647798566e-06, tensor(0.0168))
INFO:14:test:(4.239336956922921e-06, tensor(0.0219))
INFO:15:train:(4.213824413994205e-06, tensor(0.0168))
INFO:15:test:(4.2964667576483595e-06, tensor(0.0221))
INFO:16:train:(4.207033320686642e-06, tensor(0.0168))
INFO:16:test:(4.278834543448609e-06, tensor(0.0219))
INFO:17:train:(4.200710465642705e-06, tensor(0.0167))
INFO:17:test:(4.3432771804750375e-06, tensor(0.0220))
INFO:18:train:(4.198485816767589e-06, tensor(0.0167))
INFO:18:test:(4.264420874474551e-06, tensor(0.0218))
INFO:19:train:(4.388903984386841e-06, tensor(0.0175))
INFO:19:test:(4.198876216034626e-06, tensor(0.0216))
INFO:20:train:(4.203836360156906e-06, tensor(0.0167))
INFO:20:test:(4.249616226396333e-06, tensor(0.0219))
INFO:21:train:(4.184980014796186e-06, tensor(0.0167))
INFO:21:test:(4.315838928260033e-06, tensor(0.0220))
INFO:22:train:(4.182232684131632e-06, tensor(0.0167))
INFO:22:test:(4.316751834638089e-06, tensor(0.0219))
INFO:23:train:(4.182707588201779e-06, tensor(0.0167))
INFO:23:test:(4.258986201463553e-06, tensor(0.0218))
INFO:24:train:(4.173840736425422e-06, tensor(0.0166))
INFO:24:test:(4.347321854295104e-06, tensor(0.0222))
INFO:25:train:(4.17715981545444e-06, tensor(0.0166))
INFO:25:test:(4.382280401853327e-06, tensor(0.0222))
INFO:26:train:(4.1660868110284446e-06, tensor(0.0166))
INFO:26:test:(4.340359435846165e-06, tensor(0.0221))
INFO:27:train:(4.1727833030721666e-06, tensor(0.0166))
INFO:27:test:(4.3905397764530745e-06, tensor(0.0221))
INFO:28:train:(4.1669695248481155e-06, tensor(0.0166))
INFO:28:test:(4.356001942381424e-06, tensor(0.0222))
INFO:29:train:(4.1611173745252676e-06, tensor(0.0166))
INFO:29:test:(4.321111789046487e-06, tensor(0.0221))
INFO:30:train:(4.1640898155643176e-06, tensor(0.0166))
INFO:30:test:(4.341109597563215e-06, tensor(0.0221))
INFO:31:train:(4.157523556579156e-06, tensor(0.0166))
INFO:31:test:(4.376027482590799e-06, tensor(0.0222))
INFO:32:train:(4.152927886647487e-06, tensor(0.0166))
INFO:32:test:(4.402954107434001e-06, tensor(0.0221))
INFO:33:train:(4.151857792942355e-06, tensor(0.0166))
INFO:33:test:(4.245574792779665e-06, tensor(0.0217))
INFO:34:train:(4.167539859686178e-06, tensor(0.0166))
INFO:34:test:(4.332851377822475e-06, tensor(0.0221))
INFO:35:train:(4.147272988962685e-06, tensor(0.0165))
INFO:35:test:(4.368371495659878e-06, tensor(0.0221))
INFO:36:train:(4.154323165063737e-06, tensor(0.0166))
INFO:36:test:(4.284356036280088e-06, tensor(0.0219))
INFO:37:train:(4.143687724526862e-06, tensor(0.0165))
INFO:37:test:(4.317271225691903e-06, tensor(0.0221))
INFO:38:train:(4.152110525251146e-06, tensor(0.0166))
INFO:38:test:(4.334429402639538e-06, tensor(0.0221))
INFO:39:train:(4.1441467013836294e-06, tensor(0.0165))
INFO:39:test:(4.365035649679064e-06, tensor(0.0222))
INFO:40:train:(4.1481592444094256e-06, tensor(0.0165))
INFO:40:test:(4.4288397525496855e-06, tensor(0.0223))
INFO:41:train:(4.136936879749431e-06, tensor(0.0165))
INFO:41:test:(4.352795038687913e-06, tensor(0.0223))
INFO:42:train:(4.1312842284645846e-06, tensor(0.0165))
INFO:42:test:(4.465098526082981e-06, tensor(0.0224))
INFO:43:train:(4.127053569762438e-06, tensor(0.0165))
INFO:43:test:(4.413239475080889e-06, tensor(0.0223))
INFO:44:train:(4.127264876582638e-06, tensor(0.0165))
INFO:44:test:(4.336008443257174e-06, tensor(0.0221))
INFO:45:train:(4.133527681106573e-06, tensor(0.0165))
INFO:45:test:(4.52861900189596e-06, tensor(0.0226))
INFO:46:train:(4.12168574073961e-06, tensor(0.0165))
INFO:46:test:(4.392398744890226e-06, tensor(0.0223))
INFO:47:train:(4.1417081000665495e-06, tensor(0.0165))
INFO:47:test:(4.311594506400726e-06, tensor(0.0222))
INFO:48:train:(4.115866880118368e-06, tensor(0.0164))
INFO:48:test:(4.4181166121036165e-06, tensor(0.0223))
INFO:49:train:(4.117609689374837e-06, tensor(0.0164))
INFO:49:test:(4.395064239294244e-06, tensor(0.0223))
