INFO:0:train:(0.002633667947486446, tensor(7.5058))
INFO:0:test:(0.0008787013078395248, tensor(2.7097))
INFO:1:train:(0.0011672187988021048, tensor(3.6397))
INFO:1:test:(0.0008552946537267028, tensor(2.6399))
INFO:2:train:(0.0011192979585715826, tensor(3.5015))
INFO:2:test:(0.0008396478425542444, tensor(2.5898))
INFO:3:train:(0.0010914665533175607, tensor(3.4209))
INFO:3:test:(0.0008344175626816248, tensor(2.5844))
INFO:4:train:(0.0010688277979982448, tensor(3.3555))
INFO:4:test:(0.0008370596864897766, tensor(2.5894))
INFO:5:train:(0.0010501513449816047, tensor(3.3014))
INFO:5:test:(0.0008380458954015672, tensor(2.6025))
INFO:6:train:(0.0010348112011389994, tensor(3.2570))
INFO:6:test:(0.0008387108914764264, tensor(2.5927))
INFO:7:train:(0.0010219894894287782, tensor(3.2198))
INFO:7:test:(0.0008514462083872764, tensor(2.6334))
INFO:8:train:(0.001011659585698693, tensor(3.1898))
INFO:8:test:(0.0008378344719521075, tensor(2.6034))
INFO:9:train:(0.0010029200655540275, tensor(3.1646))
INFO:9:test:(0.0008420964674959845, tensor(2.6050))
INFO:10:train:(0.0009956770226896468, tensor(3.1442))
INFO:10:test:(0.0008362912469384932, tensor(2.5960))
INFO:11:train:(0.0009889888700607076, tensor(3.1249))
INFO:11:test:(0.0008753246096449289, tensor(2.6930))
INFO:12:train:(0.0009823860542175367, tensor(3.1063))
INFO:12:test:(0.0008544216502090135, tensor(2.6483))
INFO:13:train:(0.0009783073451743445, tensor(3.0946))
INFO:13:test:(0.0008607723169909678, tensor(2.6625))
INFO:14:train:(0.0009742320388358379, tensor(3.0829))
INFO:14:test:(0.0008596930401118534, tensor(2.6619))
INFO:15:train:(0.0009699554652991846, tensor(3.0707))
INFO:15:test:(0.000844846982129009, tensor(2.6159))
INFO:16:train:(0.0009658979266452758, tensor(3.0591))
INFO:16:test:(0.0008473734308032793, tensor(2.6259))
INFO:17:train:(0.0009627720425992017, tensor(3.0503))
INFO:17:test:(0.0008463831279041105, tensor(2.6250))
INFO:18:train:(0.0009604703217817402, tensor(3.0437))
INFO:18:test:(0.0008478046063085318, tensor(2.6285))
INFO:19:train:(0.0009578425542499768, tensor(3.0365))
INFO:19:test:(0.0008476234748048337, tensor(2.6276))
INFO:20:train:(0.0009552303258948447, tensor(3.0290))
INFO:20:test:(0.0008616258927200243, tensor(2.6545))
INFO:21:train:(0.0009533330631149878, tensor(3.0236))
INFO:21:test:(0.0008475265343692489, tensor(2.6300))
INFO:22:train:(0.0009507458501139341, tensor(3.0163))
INFO:22:test:(0.0008550978436123664, tensor(2.6479))
INFO:23:train:(0.0009491738459983643, tensor(3.0118))
INFO:23:test:(0.0008509645800681335, tensor(2.6398))
INFO:24:train:(0.0009471893736622648, tensor(3.0062))
INFO:24:test:(0.0008491820060455319, tensor(2.6320))
INFO:25:train:(0.0009453581097330298, tensor(3.0009))
INFO:25:test:(0.0008461328037469981, tensor(2.6202))
INFO:26:train:(0.0009438652612526089, tensor(2.9966))
INFO:26:test:(0.0008672032868499046, tensor(2.6773))
INFO:27:train:(0.0009417548694450664, tensor(2.9905))
INFO:27:test:(0.0008467171660201392, tensor(2.6287))
INFO:28:train:(0.0009409369416366207, tensor(2.9880))
INFO:28:test:(0.0008505755231828664, tensor(2.6285))
INFO:29:train:(0.0009390946193029812, tensor(2.9828))
INFO:29:test:(0.0008477086030310624, tensor(2.6279))
INFO:30:train:(0.0009412030018598529, tensor(2.9887))
INFO:30:test:(0.0008511870998234503, tensor(2.6352))
INFO:31:train:(0.0009366867292220699, tensor(2.9757))
INFO:31:test:(0.0008540525546924198, tensor(2.6337))
INFO:32:train:(0.0009356691537877912, tensor(2.9728))
INFO:32:test:(0.0008530852678774865, tensor(2.6422))
INFO:33:train:(0.000933992915107453, tensor(2.9680))
INFO:33:test:(0.0008478027821977902, tensor(2.6253))
INFO:34:train:(0.0009332790297730441, tensor(2.9659))
INFO:34:test:(0.0008517372964592543, tensor(2.6394))
INFO:35:train:(0.0009325485497889522, tensor(2.9637))
INFO:35:test:(0.0008493247459222645, tensor(2.6272))
INFO:36:train:(0.0009315285435136024, tensor(2.9608))
INFO:36:test:(0.0008445941719818706, tensor(2.6151))
INFO:37:train:(0.0009304218222984478, tensor(2.9576))
INFO:37:test:(0.0008637944664657015, tensor(2.6642))
INFO:38:train:(0.0009294622225959569, tensor(2.9549))
INFO:38:test:(0.0008454917249589614, tensor(2.6199))
INFO:39:train:(0.0009284612937688609, tensor(2.9521))
INFO:39:test:(0.0008441638139152228, tensor(2.6159))
INFO:40:train:(0.0009278573856641482, tensor(2.9504))
INFO:40:test:(0.0008444191078206647, tensor(2.6148))
INFO:41:train:(0.000926570555831345, tensor(2.9467))
INFO:41:test:(0.00086891774582694, tensor(2.6835))
INFO:42:train:(0.0009261829164115173, tensor(2.9454))
INFO:42:test:(0.0008635096322420873, tensor(2.6650))
INFO:43:train:(0.0009252425534689504, tensor(2.9429))
INFO:43:test:(0.0008544552300109424, tensor(2.6433))
INFO:44:train:(0.0009247930243379055, tensor(2.9416))
INFO:44:test:(0.0008559956295151556, tensor(2.6506))
INFO:45:train:(0.0009241102407951463, tensor(2.9397))
INFO:45:test:(0.0008666991518909017, tensor(2.6766))
INFO:46:train:(0.00092286539611902, tensor(2.9361))
INFO:46:test:(0.0008718344022774782, tensor(2.6879))
